course_number,course_title,professor,credits,class_cap,primary_schedule_day,primary_schedule_start_time,primary_schedule_end_time,primary_schedule_location,secondary_schedule_day,secondary_schedule_start_time,secondary_schedule_end_time,secondary_schedule_location,distributional_area,crosslists,additional_schedule,description,crn_number,program,source
ARAB 201,"Intermediate Arabic I","Ziad Dallal",4,22,Mon Tue Wed, 11:50, 13:10, "Olin Languages Center 118",,,,,"FL","Africana Studies; Middle Eastern Studies","","This course will focus on the functional use of Arabic in a natural communication setting. The four basic linguistic skills will be dealt with simultaneously. Active and passive lexicon as well as advanced grammatical structures will be taught through exposure to a wide range of texts. Aspects of Arab culture and differences between Modern Standard Arabic and the spoken language will be highlighted. Conducted mainly in Modern Standard Arabic.",91879,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
ARTH 101,"Perspectives in World Art","Anne Chen",4,22,Tue Thurs, 11:50, 13:10, "Olin 102",,,,,"AA","Africana Studies","","",91856,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
HIST 2271,"Black Modernisms","Tabetha Ewing",4,15,Wed Fri, 15:30, 16:50, "Olin 305",,,,,"HA, D+J","Africana Studies; French Studies; Human Rights","","This course is a grounding in the foundational literature of 20th-century anti-colonial and post-colonial thought as they buttressed, abraded, or rejected prevailing notions of the modern. It is an intellectual history exploring African diasporic political and social movements from revolutionary and anti-colonial resistance to pan-Africanism and négritude. Theorizations of diaspora and exilic identities emerged in tension with the contemporary understanding of national identity, where birthplace, homeland, natal language, and loss became rival terms in the struggle for territorial- and self-sovereignty. By focusing on the francophone world, students will follow developments in Paris, Marseilles, Saint Domingue/Haiti, Martinique, Guadeloupe, and Senegal enabling them to assess heterogeneous responses to a single imperial framework. We read across genres: history by C.L.R. James, poetry of Aimé Césaire and Léon Damas, journalism by Paulette and Jane Nardal, essays of Léopold Senghor and Suzanne Césaire, psycho-social theories of race and revolution by Frantz Fanon, and the fiction of Maryse Condé. We will frame readings of this primary literature with more recent conceptualizations of the French Atlantic, the black-Atlantic, -Caribbean, and -diaspora. Contributes to the Racial Justice Initiative.",92050,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
HIST 310,"Captivity and Law","Tabetha Ewing",4,12,Fri, 12:30, 14:50, "Olin Languages Center 208",,,,,"HA","Africana Studies; Human Rights","","This course focuses on the confrontation of early-modern African and European political thought and practices of captivity, especially, abduction, wartime hostage-taking, slavery, and other forms of internment. Captivity in the early modern world engages questions of war and ransom as much as labor, religion, and race. It involves contracts, written or not, for renting, selling, buying, and freeing people. As such, captivity figures prominently in the so-called laws of war and peace. The language of the law, here, indicates varying degrees of legitimacy and becomes a touchstone for the changing morality of societies–with profound consequences for understandings of gender and power. Students will write an Africa-centered paper based on primary research. This course will serve as a Major Conference in historical research.",92053,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
HR 189,"Human Rights to Civil Rights","Kwame Holmes",4,22,Mon Wed, 10:10, 11:30, "Olin 205",,,,,"HA, D+J","Africana Studies; American & Indigenous Studies; Historical Studies","","(HRP core course) For much of the 20th century, Civil Rights activists and Human Rights advocates worked hand-in-hand. Their shared target: state actors and global systems that exploited human bodies and denied human dignity in the name of prejudice, nationalism and profit. Yet in the 1960s, a new wave of social movements representing Black, Feminist, LGBTQ, Chicano, Indigenous and Disabled perspectives shattered this consensus, demanding an identity-based approach to civil rights advocacy and pushing against notions of universal human rights. This seminar will introduce students to the history of this conflict, and allow them to explore for themselves the benefits and/or costs of advocating for social justice through the figure of “the human” or through the filter of identity. Students will be introduced to the foundational writings of identity-based movement leaders, with an eye for their applicability to contemporary struggles over immigration, anti-trans violence, mass incarceration and police violence. We will consider the relative efficacy of direct action, lawsuits, media campaigns and civil disobedience.",92060,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
HR 246,"Human Rights in Sub-Saharan Africa","Peter Rosenblum and John Ryle",4,,Mon Wed, 15:30, 16:50, "Hegeman 308",,,,,"SA, D+J","Africana Studies; Anthropology; Global & International Studies","","Africa has been central to the story of human rights from the slave trade to the present. It has been the site of atrocities and great struggles as well as a launching ground in recent times for criminal tribunals, truth commissions, and a dynamic human rights movement. What underlies the recent initiatives are some of the most inspiring and depressing events in the world today. This class will explore human rights in Sub-Saharan Africa through case studies and thematic inquiries. The case-studies come from a number of countries and regions and will include a selection of the following (based on interest and the availability of visitors): the end of apartheid in South Africa, campaigns against female genital cutting in Kenya and Sudan, resource extraction in the Democratic Republic of the Congo, genocide in Rwanda, the trial of the Derg regime in Ethiopia, the resurgence of slavery amid civil war in Sudan, the fate of sexual minorities in Uganda, and, lastly, debates in Nigeria over the return of cultural heritage from museums in the West. The second part of the course will focus on democracy, political corruption and the enduring challenges for human rights activists and researchers in contemporary Sub-Saharan Africa.",92474,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
LIT 294,"South African Literature","Daniel Williams",4,22,Tue Thurs, 10:10, 11:30, "Reem Kayden Center 200",,,,,"LA, D+J","Africana Studies; Global & International Studies; Human Rights","","This course offers an overview of South Africa’s vibrant literary landscape, from 19th-century colonial literature through 20th-century writing under Apartheid to 21st-century fiction in a new democracy. Alongside novels, plays, short stories, and films, we will encounter a range of sub-genres (travel writing, historical romance, legal statute, political manifesto, and journalism). Topics include the political and ethical responsibilities of literature; the relationship of fiction to history and memory; the stakes of representation and testimony; and the enduring difficulties of racial segregation and class inequality. Readings may include Sol Plaatje, Athol Fugard, Nadine Gordimer, J. M. Coetzee, Alex La Guma, Steve Biko, Mongane Serote, Zoë Wicomb, Phaswane Mpe, and Antjie Krog, as well as selections from nonfiction and literary criticism. This course is part of the World Literature course offering.",92142,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
MUS 171,"Jazz Harmony I","John Esposito",4,16,Mon Wed, 10:10, 11:30, "Blum Music Center N211",,,,,"PA","Africana Studies","","",92272,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
MUS 177,"Jazz Through the Prism of History","Angelica Sanchez",4,20,Mon Wed, 11:50, 13:10, "Blum Music Center N210",,,,,"AA","Africana Studies","","",92304,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
MUS 266A,"American Popular Song I (1900-1929)","John Esposito",4,16,Mon Wed, 11:50, 13:10, "Blum Music Center N211",,,,,"AA","Africana Studies; American & Indigenous Studies","","",92273,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
MUS 366C,"Advanced Contemporary Improvisational Techn III","John Esposito",4,10,Tue Thurs, 10:10, 11:30, "Blum Music Center N211",,,,,"PA","Africana Studies","","",92274,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
PHIL 338,"W. E. B. Du Bois","Yarran Hominh",4,15,Mon, 12:30, 14:50, "Olin 107",,,,,"MBV, D+J","Africana Studies; Historical Studies; Human Rights","","This seminar examines several philosophical themes from the life and work of W. E. B. Du Bois (1868-1963). We will read three of his most important book-length collections of essays: The Souls of Black Folk (1903); Darkwater (1920); and Dusk of Dawn (1940), as well as other assorted essays from across his oeuvre. The four themes on which we will focus are Du Bois’s philosophy of race, his moral psychology, his political philosophy, and his aesthetics. But we will also read his works with an eye to their literary, historical, sociological, and rhetorical aspects, which, as we will see, are inextricable from his philosophy.",92093,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
WRIT 371,"Studio in African American Poetry and Poetics","Dawn Lundy Martin",4,12,Tue, 12:30, 14:50, "Reem Kayden Center 200",,,,,"PA","Africana Studies","","Studio in African American Poetry and Poetics will be a course in interdisciplinary making. In this class, we will think and work across genres, mediums, and disciplines, and collapse the walls between creator and critic, as we work individually and collaboratively toward new modes of making. Like innovators in tech, we want to be open and inclusive as we generate new ideas about what it means to work in the fields of African American poetry and poetics. This seems especially important in these trying and divisive times. To this end, we are working toward a practice-based poetics, where creating is centralized as a way of working through questions to arrive at new ideas. Collaboration, then, the process of creating in partnership, in community, is an expression of the practice of poetics at its most dynamic. The course will also provide students opportunities to attend events, work on archival projects, and write at the intersections of theory and practice.",92177,Africana Studies,https://inside.bard.edu/academic/courses/fall2023/africana.html
ARTH 128,"Art of the Ancient Near East","Julia Rosenbaum",4,22,Mon Wed, 15:30, 16:50, "Olin Languages Center 118",,,,,"AA","Classical Studies; Middle Eastern Studies","","",91862,Middle Eastern Studies,https://inside.bard.edu/academic/courses/fall2023/middleeast.htm
HIST 157,"The Crusades and Their Memory: Faith, Race, and Violence from the Middle Ages to Today","",4,22,Tue Thurs, 10:10, 11:30, "Reem Kayden Center 101",,,,,"HA","Middle Eastern Studies","","Beginning as a series of wars in the Middle Ages, the Crusades became one of the most important political, cultural, and symbolic movements in European history. Not only did they transform the states of the Latin West, Byzantium, and the Islamic Near East, but the fostered changes in politics, culture, literature, belief, and devotional practices from Britain to Persia—as well as providing a set of symbols and narratives that continue to resonate even in the 21st century. The Crusades may be gone, but they are hardly forgotten. Though often conceptualized as a clash between Christian and Muslim civilizations, this course challenges that view with a pluralist approach, showing students how crusading warfare and beliefs were also deployed against pagans and indigenous people on Europe’s frontiers, heterodox Christians, and a range of political opponents. More than a history of warfare, this course examines intellectual, institutional, and financial innovations that shaped crusading in the Middle Ages, as well as the ways it was exported to a globally connected world from the 15th century onward. Ranging from the 7th century CE to modern America, this course traces the long arc of crusading: from church councils and popular campaigns of the High Middle Ages, through the emergence of the Ottomans and their conquest of the eastern Mediterranean, and into modern appropriations of crusading in service of imperialism, nationalism, terrorism, and neofascist politics. Along the way, we will encounter not only zealous preachers and reluctant soldiers, but also crafty politicians and simple believers, pirates and princes. The course then intersects with histories of the Mediterranean, the Latin Middle Ages and Byzantium, the Islamic Near East, the early modern world, and even modern politics. By the end of the course, students will have a familiarity with the institutions and beliefs that fostered crusading, and the ways the memory of the crusades has continued to influence politics and conflict in the modern world.",92401,Middle Eastern Studies,https://inside.bard.edu/academic/courses/fall2023/middleeast.htm
HIST 185,"The Making of the Modern Middle East","Ibrahim Elhoudaiby",4,22,Mon Wed, 10:10, 11:30, "Olin 204",,,,,"HA, D+J","Global & International Studies; Human Rights; Middle Eastern Studies","","In this survey course, we will discuss the major processes that contributed to the rise of the modern Middle East, and trace the history of the modern institutions in the region. Topics including the making of modern armies, political institutions, nation-states, economies, and families, as well as examining reform movements in the Ottoman Empire, European imperialism, nationalist movements (including the Arab-Israeli conflict), political Islam, and the Arab Spring (and its aftermath). In addition to exploring modern Middle Eastern history, students will acquire critical thinking skills through examining primary documents and reflecting on the uses of history in contemporary contexts.",92036,Middle Eastern Studies,https://inside.bard.edu/academic/courses/fall2023/middleeast.htm
HIST 212,"“Oriental” Bodies: Law, Labor and Gender in the Colonized Middle East","Ibrahim Elhoudaiby",4,18,Mon Wed, 11:50, 13:10, "Olin 303",,,,,"HA, D+J","Global & International Studies; Human Rights; Middle Eastern Studies","","In this course, we explore how ‘Oriental bodies’ were controlled, regulated and gendered in the colonial Middle East, and how they resisted. Between the mid-nineteenth and early-twentieth century, most of the Ottoman Empire’s Arab provinces came under British and French colonial rule. Colonizers deemed the ‘Oriental’ male body weak, insufficiently masculine and unfit for national service, while the female body was exoticized and hypersexualized. During the same period, many local governments struggled with foreign debt, and, consequently, took interest in their populations as a source of labor power to be exploited. The following decades saw the proliferation of discourse on sports, labor, chastity, honor, prostitution, and drug addiction. It also saw the rise of new institutions, including prisons, families, sports clubs, and police agencies, as sites of contestation between the colonizer and the colonized. Throughout the course, we will scrutinize the proliferation of this discourse on ‘Oriental bodies’. We will also explore the role of these emergent institutions in the gendering bodies, exploiting labor, and organizing collective life. The course aims to give students a deeper understanding of the ways in which law intersected with questions of labor, gender, and colonialism, and how this history continues to shape contemporary debates in the region.",92043,Middle Eastern Studies,https://inside.bard.edu/academic/courses/fall2023/middleeast.htm
LIT 105,"Solar Readings","Elizabeth Holt",4,22,Wed Fri, 11:50, 13:10, "Olin 107",,,,,"LA","Middle Eastern Studies","","This course takes up contemporary debates in the energy humanities through a focus on the role of the sun in storytelling and narrative. We will consider how the rising sun interrupts Shahrazad's oral storytelling each morning, creating a sense of narrative suspense in earlier editions of a 1001 Nights, and how later translators of these tales into French and English eclipsed this narrative momentum. We will read from Robinson Crusoe's dependence on sundials to tell both time and to locate the island on which he has shipwrecked, and the omissions of this mode of time-telling in the Robinsonades of political economists of the nineteenth-century. And finally we will read Ghassan Kanafani's novel Men in the Sun in the context of the mid-twentieth century global oil boom. This is part of the World Literature offering.",92125,Middle Eastern Studies,https://inside.bard.edu/academic/courses/fall2023/middleeast.htm
PS 296,"Projecting Militarism: Politics and Militarism on Film","Pinar Kemerli",4,20,Tue Thurs, 11:50, 13:10, "Olin 204",,,,,"SA","Human Rights; Middle Eastern Studies","","How are stories of militaries and wars told in film and television? What political consequences follow when entertainment is mobilized to defend wars and persuade viewers of their justice? How has the rise of social media and networking technologies transformed what counts as theaters of war and propaganda? This course will explore such questions by focusing on the multifaceted interactions of militarism, propaganda, and artistic and digital means and technologies. We will study how particular wars from recent history including the Vietnam War, Algerian War of Independence, and the Global War on Terror have been represented and with what political consequences, and how digital and aesthetics technologies support and enhance continuing conflicts across the world. Issues of race, gender, cultural difference, globalization and Islamophobia will be addressed within this context. The course combines film and other visual screenings with in depth political and historical analysis, and students should be prepared to read, write about and discuss the overlaps and tensions between these mediums.",92103,Middle Eastern Studies,https://inside.bard.edu/academic/courses/fall2023/middleeast.htm
SOC 289,"Religious Pluralism, Religious Freedom and Interfaith Dialogue","Karen Barkey",4,22,Tue Thurs, 8:30, 9:50, "Olin 202",,,,,"SA, D+J","Asian Studies; Middle Eastern Studies; Study of Religions","","As religion persists despite secular predictions of its downturn or demise, the modern world’s various inheritances (of colonialism and empire), the centrality of the nation-state, the paradoxes of legal dispensations, etc., make religion come alive through state and society in conflicting rather than cohesive ways. This course allows the student to understand religion and its collisions as they are filtered through the history and politics of nations and their various priorities. This course examines the solutions the modern world has devised to arrest and minimize religious conflict by exploring the ideas around secularism/secularization, tolerance, pluralism, and religious freedom. Through unpacking these concepts, their aspirations, and shortcomings, the course allows students to work through some recent controversies of religious conflict and cases where conflicts are managed better. The course ends by looking at dialogue to ask if, indeed, the modern world allows for inter and intra-religious dialogue, who initiates and engages in it, and how to assess the ethical framework within which this task is undertaken towards goals of building understanding and mutuality through religion for the self and community.",92116,Middle Eastern Studies,https://inside.bard.edu/academic/courses/fall2023/middleeast.htm
HR 105,"Human Rights Advocacy","Ziad Abu-Rish",4,22,Mon Wed, 10:10, 11:30, "Barringer 104",,,,,"SA, D+J","Global & International Studies","","(HRP core course) This course offers a two-track introduction to human rights advocacy. The first track (first meetings of the week) focuses on the history of human rights advocacy. It is anchored in developing a chronology and typology for making claims to humanity and/or human rights as well as denouncing their violations, especially on behalf of others. In this sense, we will explore how, when, and why have individuals and groups spoken out, mounted campaigns, produced publications, and more all while referring to a common humanity or notion of human rights. We will also address how such mobilizations intersect with state power and the institutional organization of the contemporary international system. To this end, we will explore the campaign to abolish the slave trade and the development of Amnesty International as two exemplary and foundational moments in the formation of transnational advocacy networks around questions of human rights. This track of the course serves as an introduction to human rights activism as a mode of legal and political practice. The second track (second meetings of the week) involves a practical component that offers a case-specific opportunity to learn about and participate in a human rights advocacy effort. For this component, we will be working with the human rights organization Scholars at Risk (SAR) in their efforts to support detained or threatened Uyghur scholars in China. In this sense, we will learn about the history and contemporary context of the Uyghur community, familiarize ourselves with efforts of SAR and specific Uyghur activists around this issue, and develop a collective contribution to the existing mobilizations around the fate of a specific detained Uyghur scholar (TBD).",92059,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
PS 207,"Global Citizenship","Michelle Murray",4,22,Tue Thurs, 10:10, 11:30, "Olin 205",,,,,"SA, D+J","Global & International Studies; Human Rights","","(HRP Core Course) (GIS Core Course) What does it mean to be a global citizen? This question has gained increasing salience as the world has become more globalized. With globalization new problems surface that cut across national borders and fall outside the jurisdiction of individual nation-states. In response new forms of political organization have emerged to address these problems, which challenge the state as the primary locus of political authority and ultimate source of individual rights. In particular, these individuals and groups have appealed to a kind of global citizenship from below to call for action on and demand redress for the harms created by globalization. This interdisciplinary course critically examines the conceptual and theoretical foundations of the concept of global citizenship and investigates how the idea might work in practice. We begin by considering the conceptual, philosophical and historical debates about citizenship. What does it mean to be a citizen of a particular state? What obligations and responsibilities accompany citizenship? How have understandings of citizenship changed and expanded over time? What is global citizenship and how does it differ from national citizenship? Next we evaluate these ideas about citizenship in the context of globalization and the new problems created by an increasingly interdependent world. Topics covered may include: migration and refugees; the environment and resources; (in)security and borders; health and infectious disease; and development and inequality. We conclude by assessing the role (if any) global citizenship can play in global governance and consider how the international system might be transformed to better address the challenges of globalization. This course will be taught concurrently at Bard’s international partner institutions. Students will benefit from collaboration with peers at these institutions.",92106,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 240,"Observation and Description","Gilles Peress",4,15,Tue Thurs, 10:10, 11:30, "OSUN Course",,,,,"MBV","","","(HR core course.) The observation and description of reality is a fundamental and daunting problem for human rights. This reading and writing seminar explores different methods for the observation and description of complex historical and cultural situations, focusing on the violence and injustice that human rights reporting seeks to expose and challenge. Documenting them is difficult in the extreme. We set out to re-appropriate reality, to get at perception before it has been shaped as expression, to read images and words in the heart and eye before they harden as categories, styles, definitions – and if it is possible to do so, to reconcile the layers of meanings and to pull from all these contradictions some organized proce– where the documentary act begins. We will focus on visual and semiotic awareness, not as an illustration of ideas, but as a seed for ideas in themselves. We will try, through examples and assignments, to investigate how non-professionals can use not only current technologies but also new attitudes so that human rights reporting can be formalized in such a way as to escape its own dreary ghetto and become as serious and as urgent as it ought to be. This is an OSUN online course.",92405,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 2509,"Telling Stories About Rights","Thomas Bartscherer",4,22,Mon Wed, 15:30, 16:50, "Hegeman 201",,,,,"LA","","","(HR core course.) What can fiction tell us about human rights? And what can we learn about fiction and literature by focusing on themes of justice and injustice, suffering and struggle, oppression and resistance? This course will focus on a wide range of fictions, from a variety of writers and filmmakers with different backgrounds and from different parts of the world, that tell compelling stories about individual rights and communal experiences of justice and injustice. We will look at the ways in which literary forms can present and interrogate universalizing claims, and how themes such as political oppression, forced migration, disenfranchisement, racism, poverty, and lack of access to education and health care can affect the dignity of all humans. Readings may include: Sophocles’ Antigone; Guterson’s Snow Falling on Cedars; Otsuka’s When the Emperor Was Divine; Nottage’s Sweat; Camus’ The Plague; The Island by Fugard, Kani, and Ntshona; Farah’s Yesterday, Tomorrow and Antigone in Somalia; and Mukasonga’s Cockroaches. Film screenings may include The Battle of Algiers (Gillo Pontecorvo), Hotel Rwanda (Terry George), and This is not a Film (Jafar Panahi). In addition to literary analysis, students will conduct and present original research on contemporary forms of storytelling in relation to human rights.",92062,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 268,"Visual Storytelling for Civic Engagement","Adam Stepan",4,20,Tue Thur, 8:30, 9:50, "Henderson Computer Center 101A",,,,,"PA","","","This class introduces students to the uses of video for civic engagement and development projects, and trains students in the basics of smartphone-based documentary film techniques. Taught by an award-winning group of documentary filmmakers, this class builds on classic PBS and BBC documentary film techniques. This is a group- and project-based class, in which students will work in teams of 3-4 students on semester-long video projects, including at least 4 days of location based filming (to be done over the course of the semester). Classwork is in three parts: pre-recorded videos and tutorials, live class meetings on Zoom, and a series of small group trainings and follow-ups to support teams in their class projects. Students will learn the basics of visual storytelling, field production, interviewing techniques, and basic video editing. This class is open both to students new to filmmaking, and more experienced documentary filmmakers – teams will include students of different levels of experience. This is an OSUN Network Collaborative Course taught in collaboration with Bard Berlin, Al-Quds, AUCA, CEU, and BRAC. All participating campuses will have smartphone stabilizers, tripods, lights and audio kits available for student use. All required gear and software will be provided, along with limited funds for project travel and production costs. Films will be shown at an end of semester OSUN wide film festival, and certain student films may be chosen for use as “video case studies” for other future OSUN classes. Please see this website for class info and examples of films produced by students in previous versions of this class: www.osun.video",92476,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 275,"Literatures of Human Rights","Ingrid Becker",4,18,Tue Thurs, 11:50, 13:10, "Olin 305",,,,,"LA, D+J","Global & International Studies; Literature","","(HR core course.) This course introduces students to the global history of literature and human rights from the sixteenth century to the present. While human rights are often, and importantly, read through legal documents and declarations, this class will complement the political and juridical traditions of human rights by exploring the central ways in which human rights discourses have been addressed, defined and advanced through literary texts. Beginning with early human rights testimonies around settler colonialism and slavery in the Americas, we will move on to examine twentieth-century literature that grapples with the Holocaust in Europe, military dictatorships in Latin America and Southeast Asia, and Apartheid in South Africa. We will end by considering contemporary texts that confront the issues of war in the Middle East, immigration and detainment, and the treatment of refugees. Throughout the term, we will pose such questions as: what exactly are human rights, and how have they been allocated to particular groups and denied to others in different places and at different times? How can literature appeal to the feelings of empathy and collective recognition necessary to support human rights claims? What strategies do works of art use to bear witness to human rights violations, compel their audiences to act against injustice, and help victims heal? What are the possibilities and limits of the written word in the face of the inarticulable, and of aesthetic representation in the face of atrocity and trauma? In our search for answers, we will examine a range of literary genres, from autobiography and testimony to the graphic novel, drama and poetry. Readings may include works by Bartolomé de las Casas, Olaudah Equiano, Harriet Jacobs, Vladimir Nabokov, Art Spiegelman, Ariel Dorfman, Antjie Krog, Solmaz Sharif, and Behrouz Boochani, among others.",92064,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 280,"Hannah Arendt – Conversations in Dark Times","Marie Knott",1,16,Mon Wed, 13:30, 14:50, "Olin 202 (October 2-27)",,,,,"MBV","German Studies; Literature","","This is a special 1 credit course taught by the Distinguished Visiting Lecturer Dr. Marie Luise Knott in October 2023 (2nd to 27th of October). It is taught in conjunction with the Hannah Arendt Center Fall Conference on Friendship and Politics. In 1936 Hannah Arendt described the German-Jewish author Rahel Varnhagen as her “really best friend, who unfortunately died 100 years ago”. In conversation with her letters her personal writings and with contemporary witnesses, she started her biography Rahel Varnhagen. The Life of a Jewess. Later, in 1945, when Hannah Arendt sent her essay Zionism Reconsidered to Henry Hurwitz, the editor of Menorah Journal, she wrote: “I am afraid of my Zionist friends, that is the truth and not a brave one. But they are the kind of people I never wanted to hurt. It is the old story of amicus Plato, amicus Socrates sed magis amica veritas. Brrrr period!” (A Friend to Plato, A friend to Socrates, but above all a friend to truth. Brrrr period.) This course asks: what is a conversation and how is friendship involved here? And: what is the impact of conversations on the thinking paths of this female thinker? What can we discover when standing in her library, when reading her essays, her letters, when looking at poems dedicated to her? This workshop is also an exploration of different forms of reading. We will start reading Arendt’s ideas of how to live in Dark Times. Exploring Arendt’s personal library on the Bard campus, we will encounter writers and thinkers who were her friends or correspondents, such as W.H. Auden, James Baldwin or Bertolt Brecht; W.E.B. Du Bois, Mary McCarthy, Ralph Ellison, Nathalie Sarraute, Elizabeth Sewell, Socrates and Ted Weiss. During the workshop the students will read different documents from Arendt’s library and send their reflections of the quality and kind of conversation inherent in it. Every week one student will present their view on the document as a “conversation” with one of the documents, either as a drama, a poem, a research-report or as a podcast.",92397,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 301,"Methods and Human Rights","Ziad Abu-Rish",4,15,Mon, 12:30, 14:50, "Olin 310 (Meets every other week)",,,,,"SA, D+J","","","This 2-credit seminar is required of all Human Rights majors. It meets once every other week to explore various methodologies for the production of knowledge around human rights issues and advocacy related to them. Each semester offered, the instructor will structure the course around a particular theme or topic that is then approached from various disciplinary methodologies to highlight the variety of ways in which the theme/topic could be approached. Reading and discussion will be the primary activities of the course, yet students will be required to submit a number of short practical (or practice-based) assignments.",92464,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 307,"Human Rights at the Border","Peter Rosenblum",4,16,Thurs, 10:50, 13:10, "Reem Kayden Center 111",,,,,"SA, D+J","American & Indigenous Studies; Global & International Studies; Politics; Sociology","","Human rights tend to break down at the border. As Hannah Arendt famously noted, despite claims of universal rights, the ‘right to have rights’ has come to depend on citizenship and nationhood. International human rights makes only minor and narrow concessions to people who cross a border without a government’s permission. As migration increases – because of violence, climate change, economics – the conflict between human rights and border enforcement takes on new proportions, leading to increasingly well documented deaths and violence, both, at the border and beyond. United States border enforcement runs from Central America to bus stations in upstate New York, and meat packing plants in Iowa. And the power of the border police is even extended to policing protesters, as happened in Portland, Oregon and Black Lives Matter protests in 2020. In Europe, border control extends across the Mediterranean sea into the Middle East and across the Sahara. This seminar explores the border’s impact on human rights from the perspective of theory, law and advocacy-related case studies. The class will be begin with readings in political theory and law, drawing from authors including Hannah Arendt, Etienne Balibar, Reece Jones, Linda Bosniak, and Michael Walzer, and will explore the rich debate about borders and refugees elicited by the work of Georgio Agamben. Case studies will highlight the work of researchers and advocates in law, geography, forensic architecture, and humanitarian assistance who are confronting the state directly, as well as anti-immigration or pro-enforcement groups. We will look at the claims made in the name of (universal) human rights to resist and denounce state practices that draw authority from the border, as well as rights claims made in support of border enforcement practices. In addition to engaging with readings and other assignments, students will undertake research leading to class presentation and a final project that may be a research paper or other agreed format.",92403,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 3206,"Evidence","Thomas Keenan",4,18,Wed, 10:10, 12:30, "Center for Curatorial Studies",,,,,"MBV, D+J","Literature; Philosophy","","What can culture and the arts teach us about evidence? Evidence would seem to be a matter of facts, far from the realm of literary or artistic invention. But, whether as fact or fiction, we are regularly confronted by all sorts of signs that (might) bear witness to an occurrence. When we read the traces of things left behind at this or that scene, of a crime for instance, questions of interpretation, presentation, even rhetoric, arise immediately. Confronted with evidence, we need to make decisions, form conclusions, reach judgments. This seminar examines various forms of evidence presented in the context of claims made for human rights and justice. On the basis of the traces of what is no longer present—whether in the form of statistics, stains, rubble, graves, documents, photos, videos, social media postings, or testimony—we have to decide, and risk making claims about the truth of what happened. This is necessary because evidence can mislead, or even lie, and is often ignored or suppressed or denied. The complexities of a ‘post-truth’ world, and new modes of political defiance in relation to evidence, make this even more urgent. Through many case studies (from the Shoah to police violence to war crimes to Mediterranean migrant shipwrecks), as well as historical and theoretical accounts, we will examine the centrality of evidence in political and ethical disputes today. Readings include texts and projects by Forensic Architecture, Kate Doyle, Kimberle Crenshaw and Gary Peller, Lawrence Weschler, Shoshana Felman, Judith Butler, Bruno Latour, Eric Stover, Patrick Ball, Ariella Azoulay, Georges Didi-Huberman, and others.",92069,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
HR 323,"Citizens of the World: Ancient, Modern, Contemporary","Thomas Bartscherer",4,15,Tue, 9:10, 11:30, "OSUN Course",,,,,"MBV","","","“I am a citizen of the world.” First attributed to the Greek philosopher Diogenes, the concept of “global citizenship” has a complex history and urgent relevance for the present historical moment. This course explores a tension at the heart of the idea of global citizenship: the relationship between the particularity that defines membership in a given cultural and political community and the universality that characterizes the human condition. Through the reading of literary and theoretical texts, film screening(s), and consideration of recent historical events, we will examine the philosophical and historical development of the concept of global citizenship and its political, ethical, and psychological implications from antiquity through to contemporary times. Readings include most if not all of the following: Plato, Thucydides, Sophocles, Kant, Marx, Arendt, Darwish, Gandhi, Hemon, Coetzee, Nussbaum, Fukuyama, and Appiah. This is an OSUN online course.",92075,Human Rights,https://inside.bard.edu/academic/courses/fall2023/hrp.html
